Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
,,,,,Wrong Year,,TI00772159,05/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00773685,12/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00775390,18/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00776622,24/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00776970,25/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00777239,26/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00778149,26/04/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00779616,02/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00780556,03/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00781167,08/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00781516,09/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00782455,10/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00783299,16/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00783444,17/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00784180,17/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00784619,23/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00786261,28/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00787597,30/05/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00788919,06/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00789719,07/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00790749,11/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00791293,13/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00792393,21/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00793235,24/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00794515,27/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00795364,28/06/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00797467,04/07/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00799755,11/07/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00801105,18/07/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00802252,19/07/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00803376,23/07/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00804235,25/07/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00805018,31/07/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00805242,02/08/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00807521,08/08/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00809711,21/08/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00810962,22/08/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00813489,30/08/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00814830,05/09/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00816560,09/09/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00817980,12/09/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00818990,13/09/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00819803,19/09/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00821374,25/09/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00821652,26/09/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00824284,01/10/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00824712,03/10/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00827327,10/10/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00828551,17/10/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI0083,24/10/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00832649,28/10/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00833282,31/10/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00834582,01/11/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00835378,07/11/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00836640,02/12/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00838059,12/11/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00838456,14/11/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00840648,21/11/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00842436,26/11/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00843547,28/11/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00845824,05/12/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00847038,06/12/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00848556,12/12/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00849497,16/12/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00850053,19/12/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00853075,30/12/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00854192,31/12/2019,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00854833,02/01/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00856177,03/01/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,JACOBS CRACKER CRISPS SALT AND VINEGAR PRICE PROMOTION BUYER BEN SAMUELS,,TI00857235,09/01/2020,,,23/12/2019,29/12/2019,1611,0.574,924.71,0.0,924.71,,P1 2020 Ambient MULTI TCG ONLY WK 1 of 3,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00863434,23/01/2020,,,06/01/2020,12/01/2020,1095,0.105,114.98,0.0,114.98,,P1 2020 Fresh MULTI TCG ONLY WK 3 of 3,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00867893,06/02/2020,,,20/01/2020,26/01/2020,1167,0.105,122.54,0.0,129.54,,P2 2020 Fresh MULTI TCG ONLY WK 2 of 3,Automatic
,,,,,FLIPZ DARK CHOCOLATE PRETZELS PRICE PROMOTION BUY 2011.96 |20.0 : 2414.35ER FRANCESCA HAYES,,TI00870357,13/02/2020,,,03/02/2020,09/02/2020,3580,0.562,2011.96,0.19999900594445216,2414.35,,P3 2020 Ambient MULTI TCG ONLY WK 1 of 3,Automatic
,,,,,Wrong Year,,TI00871425,17/02/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00871902,20/02/2020,,,03/02/2020,09/02/2020,1139,0.105,119.60,0.0,119.60,,P3 2020 Fresh MULTI TCG ONLY WK 1 of 3,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00874343,27/02/2020,,,10/02/2020,16/02/2020,1073,0.105,112.67,0.0,112.67,,P3 2020 Fresh MULTI TCG ONLY WK 2 of 3,Automatic
,,,,,Wrong Year,,TI00875379,28/02/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00876796,05/03/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00878016,09/03/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00878642,12/03/2020,,,24/02/2020,01/03/2020,226,0.105,23.73,0.0,23.73,,P4 2020 FRESH MULTI TCG ONLY WK 1 of 3,Automatic
,,,,,GALLO RISOTTO TRADITION 5G PRICE PROMOTION ADAM WI 65.28 |20.0LLIAMS PRICE PROMOTION FRANCESCA HAYES,,TI00880873,18/03/2020,,,17/02/2020,23/02/2020,,272.00,65.28,0.20006127450980393,78.34,,P3 2020 AMBIENT MULITI FRANCHISE ONLY WK 3,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00881504,19/03/2020,,,02/03/2020,08/03/2020,1302,0.105,136.71,0.0,136.71,,P4 2020 FRESH MULTI TCG ONLY WK 2 of 3,Automatic
,,,,,Wrong Year,,TI00882570,23/03/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00884564,31/03/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00887496,08/04/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00887987,09/04/2020,,,23/03/2020,29/03/2020,245,0.105,25.73,0.0,25.73,,P5 2020 Fresh MULTI TCG ONLY WK 2 of 3,Automatic
,,,,,Wrong Year,,TI00889012,14/04/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00889877,16/04/2020,,,30/03/2020,05/04/2020,206,0.105,21.63,0.0,21.63,,P5 2020 Fresh MULTI TCG ONLY WK 3 of 3,Automatic
,,,,,Wrong Year,,TI00892103,23/04/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00893702,27/04/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,Wrong Year,,TI00894026,28/04/2020,Wrong Year,,Need Calendar,Need Calendar,Wrong Year,Wrong Year,Wrong Year,Wrong Year,Wrong Year,,Wrong Year,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00894509,30/04/2020,,,13/04/2020,19/04/2020,336,0.105,35.28,0.0,35.28,,P6 2020 FRESH MULTI TCG ONLY WK 2 of 3,Automatic
,,,,,MCVITIES MILK CHOC HOBNOBS 262G PRICE PROMOTION FR 98.57 |20.0ANCESCA HAYES,,TI00896177,06/05/2020,,,30/03/2020,05/04/2020,,296.00,98.57,0.19995941970173484,118.28,,P5 2020 AMBIENT MULITI FRANCHISE ONLY WK 3,Automatic
,,,,,Account No J969CARRS CHEESE MELTS 2 FOR £2 BUYER FRANCESCA HAYES,,TI00897332,07/05/2020,,,27/04/2020,03/05/2020,2728,0.126,343.73,0.0,343.73,,P7 2020 Ambient MULTI TCG ONLY WK 1 of 3,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00898404,14/05/2020,,,27/04/2020,03/05/2020,455,0.105,47.78,0.0,47.78,,P7 2020 Fresh MULTI TCG ONLY WK 1 of 3,Automatic
,,,,,Account No J969CARRS CHEESE MELTS 2 FOR £2 BUYER FRANCESCA HAYES,,TI00903259,28/05/2020,,,18/05/2020,24/05/2020,2354,0.126,296.60,0.0,296.60,,P8 2020 Ambient MULTI TCG ONLY WK 1 of 3,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00907111,11/06/2020,,,25/05/2020,31/05/2020,632,0.105,66.36,0.0,66.36,,P8 2020 FRESH MULTI TCG ONLY WK 2 of 3,Automatic
,,,,,FLIPZ WHITE CHOC FUDGE PRETZELS 9G PRICE PROMOTIONFRANCESCA HAYES,,TI00908454,17/06/2020,,,11/05/2020,17/05/2020,,40.00,23.12,0.0,23.12,,P7 2020 AMBIENT MULITI FRANCHISE ONLY WK 3,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00910705,25/06/2020,,,08/06/2020,14/06/2020,661,0.105,69.41,0.0,69.41,,P9 2020 FRESH MULTI TCG ONLY WK 1 of 4,Automatic
,,,,,KP MINI CHEDDARS BIG BAG ONLY £3.50 OR LESS BUYERHELEN KERFOOT,,TI00913249,02/07/2020,,,15/06/2020,21/06/2020,777,0.105,81.59,0.0,81.59,,P9 2020 FRESH MULTI TCG ONLY WK 2 of 4,Automatic
,,,,,MCVITIES DARK CHOC DIGESTIVES 433G/MILK CHOC DIGES 158.75 |20.0TIVE 433G PRICE PROMOTION FRANCESCA HAYES,,TI00914388,03/07/2020,,,01/06/2020,07/06/2020,,203.00,158.75,0.2,190.50,,P8 2020 AMBIENT MULITI FRANCHISE ONLY WK 3,Automatic
